id,college,branch,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
1,E001 University of Visvesvaraya College of Engineering Bangalore,AI,7418,999999999,999999999,6685,999999999,10689,8120,38720,999999999,5128,999999999,6802,4822,999999999,999999999,4202,10372,6261,19929,999999999,22965,12296,999999999,999999999
2,E001 University of Visvesvaraya College of Engineering Bangalore,CE,66271,999999999,66811,68461,71770,77151,76027,999999999,130565,56151,999999999,62276,58789,999999999,66309,46143,57164,54344,71349,82281,76048,61725,999999999,999999999
3,E001 University of Visvesvaraya College of Engineering Bangalore,CS,2910,999999999,999999999,3181,999999999,5152,3894,999999999,999999999,2137,9604,999999999,2262,999999999,999999999,1969,3799,2668,9515,999999999,14016,7407,999999999,11150
4,E001 University of Visvesvaraya College of Engineering Bangalore,EC,7832,999999999,13558,10560,13617,11587,11675,999999999,26769,8420,999999999,9252,7112,13400,9973,6666,12431,9232,26317,29003,34685,17016,999999999,999999999
5,E001 University of Visvesvaraya College of Engineering Bangalore,EE,28948,999999999,999999999,21923,29444,27371,22746,999999999,999999999,16624,999999999,999999999,22470,999999999,25195,15937,23575,22057,45856,50666,56019,32172,999999999,999999999
6,E001 University of Visvesvaraya College of Engineering Bangalore,IE,6287,8114,999999999,3987,999999999,5155,5209,999999999,999999999,3398,999999999,999999999,3717,999999999,999999999,3103,4637,4483,15798,999999999,17823,7598,999999999,12377
7,E001 University of Visvesvaraya College of Engineering Bangalore,ME,78859,999999999,89850,69663,75601,81389,76860,999999999,161666,58893,999999999,77421,64539,68322,71403,57138,63104,68400,102814,122332,110523,83659,105268,107391
8,E002 S K S J T Institute of Engineering. Bangalore,CE,81892,999999999,999999999,88387,100907,95510,96918,999999999,999999999,84424,999999999,89258,82975,96476,999999999,79785,80487,87399,90983,999999999,101415,90089,999999999,999999999
9,E002 S K S J T Institute of Engineering. Bangalore,CS,17335,999999999,999999999,15008,17829,15963,15744,999999999,999999999,12403,999999999,999999999,11833,999999999,14919,10946,14416,13977,26066,999999999,31075,15320,21933,999999999
10,E002 S K S J T Institute of Engineering. Bangalore,EC,32658,999999999,33229,25630,999999999,30415,35768,999999999,999999999,25125,999999999,999999999,26358,999999999,26627,23106,25969,26144,42599,48415,45338,28048,999999999,999999999
11,E002 S K S J T Institute of Engineering. Bangalore,ST,72249,999999999,999999999,96761,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,85271,999999999,999999999,67508,110577,75276,101051,999999999,147805,103452,999999999,999999999
12,E002 S K S J T Institute of Engineering. Bangalore,TX,138892,999999999,999999999,130102,999999999,167453,117871,999999999,167009,106758,999999999,999999999,114030,999999999,999999999,106675,118206,133362,139559,141029,163352,155896,999999999,167804
13,"E003 B M S College of Engineering Basavanagudi,Bangalore",CE,65883,999999999,999999999,63517,999999999,72909,52947,999999999,999999999,53965,999999999,69089,52403,999999999,74864,45354,57634,61946,65113,83392,68135,48664,999999999,999999999
14,"E003 B M S College of Engineering Basavanagudi,Bangalore",EC,3409,999999999,6045,4754,13893,5553,9603,999999999,999999999,1900,999999999,999999999,2181,999999999,999999999,1898,11266,4872,15698,999999999,18076,17308,999999999,999999999
15,"E003 B M S College of Engineering Basavanagudi,Bangalore",EE,16850,48296,999999999,18628,999999999,19055,23946,999999999,74842,10702,999999999,999999999,12134,25181,999999999,10376,22617,17256,31593,999999999,38951,24436,999999999,42229
16,"E003 B M S College of Engineering Basavanagudi,Bangalore",IM,61828,999999999,999999999,63459,94100,101440,66090,999999999,999999999,46618,999999999,999999999,45533,999999999,76130,43625,59192,73550,108052,999999999,160624,91541,999999999,999999999
17,"E003 B M S College of Engineering Basavanagudi,Bangalore",ME,34574,999999999,999999999,54329,999999999,70297,48784,999999999,114359,32620,999999999,999999999,41460,999999999,999999999,28283,59757,60534,86984,91304,120773,78083,999999999,999999999
18,E004 Dr. Ambedkar Institute Of Technology Bangalore,CE,100710,999999999,999999999,111176,999999999,115380,94195,144892,999999999,92601,999999999,999999999,96896,999999999,111196,89354,99159,103097,106446,115269,126702,108119,999999999,113703
19,E004 Dr. Ambedkar Institute Of Technology Bangalore,CS,10108,999999999,999999999,10500,14085,10834,13847,999999999,23254,8007,999999999,999999999,7816,999999999,999999999,7278,12349,10029,18322,999999999,23388,11438,999999999,999999999
20,E004 Dr. Ambedkar Institute Of Technology Bangalore,EC,24131,28633,25830,22544,23233,26907,22908,999999999,43857,18770,999999999,22105,19155,999999999,21004,17921,20781,20959,44966,49673,55669,24818,999999999,999999999
21,E004 Dr. Ambedkar Institute Of Technology Bangalore,EE,41613,999999999,999999999,40960,999999999,41449,55347,999999999,999999999,40030,999999999,46480,37938,999999999,41713,36725,40759,40001,61091,91749,80671,44192,999999999,999999999
22,E004 Dr. Ambedkar Institute Of Technology Bangalore,EI,88786,999999999,999999999,64093,999999999,68277,80097,999999999,999999999,55025,115736,999999999,60073,76033,999999999,53334,56248,67238,103863,999999999,133077,85201,999999999,999999999
23,E004 Dr. Ambedkar Institute Of Technology Bangalore,ET,57110,999999999,88291,54330,71037,60381,77130,999999999,999999999,47324,999999999,999999999,45559,999999999,999999999,42943,43684,51114,109119,999999999,112198,66758,999999999,999999999
24,E004 Dr. Ambedkar Institute Of Technology Bangalore,IM,85948,999999999,999999999,78035,999999999,123109,108494,999999999,999999999,68410,999999999,999999999,75387,999999999,999999999,68060,91916,76873,128123,999999999,155976,105661,999999999,999999999
25,E004 Dr. Ambedkar Institute Of Technology Bangalore,ME,121484,999999999,139896,108797,119590,121702,113326,999999999,120218,102106,999999999,125576,102334,999999999,116275,94026,105585,114795,130376,155616,136199,130325,161927,999999999
26,E005 R. V. College of Engineering Bangalore,AI,1191,999999999,999999999,1310,999999999,6568,2928,999999999,999999999,950,999999999,999999999,1051,999999999,999999999,336,1408,1011,6104,999999999,9716,999999999,999999999,999999999
27,E005 R. V. College of Engineering Bangalore,BT,6727,29211,67846,7044,999999999,999999999,999999999,999999999,999999999,7399,999999999,999999999,5296,999999999,999999999,4914,999999999,9268,13054,999999999,999999999,13512,999999999,29891
28,E005 R. V. College of Engineering Bangalore,CE,28556,999999999,999999999,35882,67894,38796,36918,999999999,53493,22092,999999999,999999999,31098,999999999,34548,20624,27388,22969,47091,999999999,47249,25605,999999999,999999999
29,E005 R. V. College of Engineering Bangalore,CH,14432,999999999,999999999,18708,999999999,999999999,999999999,999999999,999999999,999999999,80641,999999999,999999999,999999999,999999999,9725,999999999,18086,34522,999999999,999999999,27307,999999999,106591
30,E005 R. V. College of Engineering Bangalore,CS,782,999999999,1283,823,1162,1684,530,999999999,999999999,525,999999999,633,437,999999999,606,158,423,436,2586,11088,3298,969,999999999,999999999
31,E005 R. V. College of Engineering Bangalore,CY,1109,999999999,999999999,1806,999999999,1814,5253,18303,999999999,999999999,999999999,999999999,958,999999999,999999999,368,999999999,1308,5329,999999999,13841,3334,999999999,999999999
32,E005 R. V. College of Engineering Bangalore,DS,999999999,999999999,999999999,1089,999999999,999999999,3356,999999999,999999999,567,999999999,1778,832,999999999,999999999,287,1300,700,6285,30937,999999999,3427,999999999,999999999
33,E005 R. V. College of Engineering Bangalore,EC,1641,999999999,999999999,2672,4753,3411,5529,999999999,12184,1565,999999999,999999999,1895,999999999,2806,776,4122,2643,8915,20724,13796,4550,999999999,9056
34,E005 R. V. College of Engineering Bangalore,EE,999999999,999999999,6341,8378,999999999,999999999,7072,999999999,49502,6543,999999999,999999999,5049,999999999,999999999,2095,6890,6056,18500,31318,999999999,10385,999999999,999999999
35,E005 R. V. College of Engineering Bangalore,EI,11275,999999999,999999999,11357,999999999,999999999,11962,999999999,999999999,5740,999999999,21131,9081,999999999,999999999,4347,999999999,12507,35448,999999999,999999999,999999999,57930,999999999
36,E005 R. V. College of Engineering Bangalore,ET,6188,999999999,999999999,8026,999999999,11030,11946,999999999,999999999,6477,999999999,999999999,4035,999999999,999999999,2795,33321,7992,37001,999999999,51489,999999999,999999999,999999999
37,E005 R. V. College of Engineering Bangalore,IE,845,999999999,999999999,1034,999999999,1701,2043,999999999,999999999,671,999999999,999999999,670,999999999,999999999,268,769,879,4647,999999999,5022,3277,999999999,999999999
