id,college,Branch,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
1,E001 University of Visvesvaraya College of Engineering Bangalore,"AI Artificial
Intelligence",10199,999999999,999999999,7457,999999999,10689,9561,38720,999999999,5698,999999999,7885,7194,999999999,999999999,5644,10372,7445,22543,999999999,39944,13323,999999999,999999999
2,E001 University of Visvesvaraya College of Engineering Bangalore,CE Civil,68513,999999999,89850,89193,107594,108447,76860,999999999,139409,72878,999999999,85675,73602,999999999,79785,61935,68461,75024,90235,109418,101537,76952,999999999,999999999
3,E001 University of Visvesvaraya College of Engineering Bangalore,CS Computers,2910,999999999,999999999,3987,999999999,5152,3946,999999999,999999999,2674,9604,999999999,2666,999999999,999999999,2401,3799,3709,10949,999999999,16756,8657,999999999,11150
4,E001 University of Visvesvaraya College of Engineering Bangalore,EC Electronics,13813,999999999,14977,11587,13617,15154,14601,999999999,27839,10476,999999999,12610,9270,13400,11128,8135,12431,10749,29003,34685,40599,17016,999999999,999999999
5,E001 University of Visvesvaraya College of Engineering Bangalore,EE Electrical,28948,999999999,999999999,27073,30900,30110,23946,999999999,999999999,21311,999999999,999999999,23877,999999999,25274,19451,29444,22057,49336,50666,56885,30826,999999999,999999999
6,E001 University of Visvesvaraya College of Engineering Bangalore,IE Info.Science,6287,8114,999999999,4969,999999999,5272,7235,999999999,999999999,4385,999999999,999999999,4041,999999999,999999999,3504,4637,5155,18238,999999999,20459,10964,999999999,12377
7,E001 University of Visvesvaraya College of Engineering Bangalore,ME Mechanical,83576,999999999,96819,89922,119362,120681,79190,999999999,161666,70468,999999999,90160,77350,80893,90600,58893,63291,71403,120752,127035,141029,95704,107391,110551
8,E002 S K S J T Institute of Engineering. Bangalore,CE Civil,100625,999999999,999999999,108960,110125,129430,118717,999999999,999999999,111732,999999999,116992,110533,110577,999999999,93708,105383,104605,101051,999999999,117865,109389,999999999,999999999
9,E002 S K S J T Institute of Engineering. Bangalore,CS Computers,17335,999999999,999999999,17651,20919,18549,16780,999999999,999999999,15427,999999999,999999999,16067,999999999,16517,13751,14786,15963,31075,999999999,46094,19624,21933,999999999
10,E002 S K S J T Institute of Engineering. Bangalore,EC Electronics,34759,999999999,39736,30689,999999999,34960,38320,999999999,999999999,27774,999999999,999999999,31446,999999999,33269,26627,32292,30482,51971,79970,52049,36261,999999999,999999999
11,E002 S K S J T Institute of Engineering. Bangalore,ST Silk Tech.,135650,999999999,999999999,147821,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,124972,999999999,999999999,114219,114642,131178,153108,999999999,999999999,153232,999999999,999999999
12,E002 S K S J T Institute of Engineering. Bangalore,TX Textiles,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,172162,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999
13,"E003 B M S College of Engineering Basavanagudi,Bangalore",CE Civil,65883,999999999,999999999,70970,999999999,72909,60489,999999999,999999999,54963,999999999,69137,57430,999999999,74864,53923,57634,69089,78650,117117,119400,77846,999999999,999999999
14,"E003 B M S College of Engineering Basavanagudi,Bangalore",EC Electronics,3409,999999999,6045,5394,13893,9908,11153,999999999,999999999,3347,999999999,999999999,2181,999999999,999999999,2084,11266,5553,18076,999999999,27949,20379,999999999,999999999
15,"E003 B M S College of Engineering Basavanagudi,Bangalore",EE Electrical,26661,48296,999999999,22286,999999999,36485,35905,999999999,74842,13830,999999999,999999999,16093,25181,999999999,12295,22617,21083,35227,999999999,38951,24436,999999999,42229
16,"E003 B M S College of Engineering Basavanagudi,Bangalore",IM Ind. Engg. Mgmt.,84575,999999999,999999999,78389,144123,101440,66090,999999999,999999999,63502,999999999,999999999,74711,999999999,103283,48917,59192,81931,136531,999999999,999999999,112876,999999999,999999999
17,"E003 B M S College of Engineering Basavanagudi,Bangalore",ME Mechanical,34574,999999999,999999999,60707,999999999,74930,52418,999999999,114359,42448,999999999,999999999,42989,999999999,999999999,33842,59757,70297,93746,105993,155703,83659,999999999,999999999
18,E004 Dr. Ambedkar Institute Of Technology Bangalore,CE Civil,117350,999999999,999999999,132280,999999999,132948,115909,144892,999999999,110339,999999999,999999999,122045,999999999,129020,102724,104546,128816,128007,158313,155660,131321,999999999,999999999
19,E004 Dr. Ambedkar Institute Of Technology Bangalore,CS Computers,10479,999999999,999999999,11978,14085,12181,15349,999999999,23254,9231,999999999,999999999,8601,999999999,999999999,8126,12349,10323,20580,999999999,23388,11438,999999999,999999999
20,E004 Dr. Ambedkar Institute Of Technology Bangalore,EC Electronics,26124,28633,35892,24325,28165,26907,22908,999999999,43857,21659,999999999,24014,21246,999999999,23482,20083,21004,23405,45856,49673,67346,29891,999999999,999999999
21,E004 Dr. Ambedkar Institute Of Technology Bangalore,EE Electrical,41613,999999999,999999999,45690,999999999,54344,55347,999999999,999999999,44977,999999999,46480,43169,999999999,43681,40001,40759,41713,78576,91749,80671,44192,999999999,999999999
22,E004 Dr. Ambedkar Institute Of Technology Bangalore,"EI Elec. Inst.
Engg",97557,999999999,999999999,70560,999999999,121262,80097,999999999,999999999,68684,132977,999999999,61760,90065,999999999,60073,62327,73707,122369,999999999,146089,89718,999999999,999999999
23,E004 Dr. Ambedkar Institute Of Technology Bangalore,"ET Elec.
Telecommn. Engg.",58978,999999999,88291,57265,93881,60381,81407,999999999,999999999,47324,999999999,999999999,50904,999999999,999999999,45559,71037,56190,112198,999999999,124636,66758,999999999,999999999
24,E004 Dr. Ambedkar Institute Of Technology Bangalore,"IM Ind. Engg.
Mgmt.",99128,999999999,999999999,97859,999999999,999999999,136147,999999999,999999999,84605,999999999,999999999,95606,999999999,999999999,81141,138056,120098,169486,999999999,999999999,144029,999999999,999999999
25,E004 Dr. Ambedkar Institute Of Technology Bangalore,ME Mechanical,155150,999999999,999999999,172022,999999999,999999999,169723,999999999,999999999,124523,999999999,160411,132201,999999999,170119,115485,135165,151878,173364,999999999,999999999,130325,161927,999999999
26,E005 R. V. College of Engineering Bangalore,AI Artificial Intelligence,2007,999999999,999999999,1715,999999999,6568,4512,999999999,999999999,950,999999999,999999999,1128,999999999,999999999,580,1408,1308,9716,999999999,18500,999999999,999999999,999999999
27,E005 R. V. College of Engineering Bangalore,BT Bio Technology,19322,29211,67846,16911,999999999,999999999,999999999,999999999,999999999,7399,999999999,999999999,6790,999999999,999999999,6727,999999999,17735,31387,999999999,999999999,13512,999999999,66405
