id,College,Branch,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
1,E001 University of Visvesvaraya College of Engineering Bangalore,"AI Artificial
Intelligence",10199,999999999,999999999,12204,999999999,16576,10598,38720,999999999,9859,999999999,19367,8688,999999999,999999999,6987,15188,11047,26995,999999999,75060,13323,999999999,999999999
2,E001 University of Visvesvaraya College of Engineering Bangalore,CE Civil,89850,999999999,132356,133678,142855,152671,113457,999999999,999999999,102042,999999999,102468,109801,999999999,134265,71349,81892,89516,109832,112453,139993,109389,999999999,999999999
3,E001 University of Visvesvaraya College of Engineering Bangalore,CS Computers,7006,999999999,999999999,4969,999999999,8920,3946,999999999,999999999,3914,23641,999999999,3267,999999999,999999999,3018,6496,5480,14844,999999999,17823,10179,999999999,11150
4,E001 University of Visvesvaraya College of Engineering Bangalore,EC Electronics,14977,999999999,18245,16606,24058,19113,16485,76860,53508,10979,999999999,17197,13160,14919,17524,9518,13400,14786,38511,61362,57187,17016,999999999,999999999
5,E001 University of Visvesvaraya College of Engineering Bangalore,EE Electrical,28948,999999999,999999999,30900,59558,67438,23946,999999999,999999999,21311,999999999,999999999,28408,999999999,30098,21130,29444,26144,56019,56885,68135,43459,999999999,999999999
6,E001 University of Visvesvaraya College of Engineering Bangalore,IE Info.Science,6287,8114,999999999,6322,999999999,9196,8334,999999999,999999999,4389,999999999,999999999,5170,999999999,999999999,4129,4637,5272,22287,999999999,26317,10964,999999999,17570
7,E001 University of Visvesvaraya College of Engineering Bangalore,ME Mechanical,101144,999999999,118290,173443,999999999,999999999,122367,999999999,161666,84097,999999999,93452,111963,124470,136805,66526,90600,84550,158790,999999999,999999999,108192,110551,115408
8,E002 S K S J T Institute of Engineering. Bangalore,CE Civil,999999999,999999999,999999999,166365,999999999,999999999,157938,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,146081,168302,171469,170441,999999999,999999999,154301,999999999,999999999
9,E002 S K S J T Institute of Engineering. Bangalore,CS Computers,29466,999999999,999999999,26720,34066,29762,29037,999999999,999999999,22748,999999999,999999999,21958,999999999,27961,18549,20577,21642,31218,999999999,46094,19624,47480,999999999
10,E002 S K S J T Institute of Engineering. Bangalore,EC Electronics,54685,999999999,78044,44820,999999999,56747,83907,999999999,999999999,39884,999999999,999999999,42804,999999999,46412,34960,39336,46301,73278,79970,75231,36261,999999999,999999999
11,E002 S K S J T Institute of Engineering. Bangalore,ST Silk Tech.,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,164782,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999
12,E002 S K S J T Institute of Engineering. Bangalore,TX Textiles,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,172162,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999
13,"E003 B M S College of Engineering Basavanagudi,Bangalore",CE Civil,65883,999999999,999999999,117384,999999999,999999999,126633,999999999,999999999,75207,999999999,93488,77904,999999999,81038,57626,57634,72909,120043,137100,999999999,77846,999999999,999999999
14,"E003 B M S College of Engineering Basavanagudi,Bangalore",EC Electronics,7421,999999999,25830,7515,13893,18182,11153,999999999,999999999,4985,999999999,999999999,5378,999999999,999999999,3409,12328,10987,18076,999999999,27949,20379,999999999,999999999
15,"E003 B M S College of Engineering Basavanagudi,Bangalore",EE Electrical,26661,48296,999999999,24760,999999999,36485,37523,999999999,74842,17683,999999999,999999999,21896,29717,999999999,17288,22617,25181,72020,999999999,91836,24436,999999999,42229
16,"E003 B M S College of Engineering Basavanagudi,Bangalore",IM Ind. Engg. Mgmt.,115908,999999999,999999999,129626,999999999,999999999,66090,999999999,999999999,65001,999999999,999999999,82850,999999999,169034,48917,59192,70707,136531,999999999,999999999,89306,999999999,999999999
17,"E003 B M S College of Engineering Basavanagudi,Bangalore",ME Mechanical,143722,999999999,999999999,74930,999999999,98720,160006,999999999,999999999,49565,999999999,999999999,42989,999999999,999999999,41261,59757,70297,139111,160222,155703,83659,999999999,999999999
18,E004 Dr. Ambedkar Institute Of Technology Bangalore,CE Civil,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,173786,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999
19,E004 Dr. Ambedkar Institute Of Technology Bangalore,CS Computers,18356,999999999,999999999,14694,22145,15014,15349,999999999,23254,12155,999999999,999999999,13777,999999999,999999999,10547,17499,14138,27586,999999999,37518,15453,999999999,999999999
20,E004 Dr. Ambedkar Institute Of Technology Bangalore,EC Electronics,30331,35892,40001,26562,28165,33015,44091,999999999,74931,25584,999999999,27316,27320,999999999,27916,20781,23405,24131,48299,49673,67346,44192,999999999,999999999
21,E004 Dr. Ambedkar Institute Of Technology Bangalore,EE Electrical,70811,999999999,999999999,58070,999999999,122860,55347,999999999,999999999,45784,999999999,85702,50003,999999999,80292,43095,71403,67749,91749,169811,167146,81862,999999999,999999999
22,E004 Dr. Ambedkar Institute Of Technology Bangalore,"EI Elec. Inst.
Engg",97557,999999999,999999999,103590,999999999,999999999,80097,999999999,999999999,78022,132977,999999999,92494,130145,999999999,67238,78289,106224,168059,999999999,999999999,112015,999999999,999999999
23,E004 Dr. Ambedkar Institute Of Technology Bangalore,"ET Elec.
Telecommn. Engg.",70693,999999999,999999999,72019,93881,152709,81407,999999999,999999999,60419,999999999,999999999,60914,999999999,999999999,53429,76710,88291,112198,999999999,124636,66758,999999999,999999999
24,E004 Dr. Ambedkar Institute Of Technology Bangalore,"IM Ind. Engg.
Mgmt.",999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,172909,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999
25,E004 Dr. Ambedkar Institute Of Technology Bangalore,ME Mechanical,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,173364,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999
26,E005 R. V. College of Engineering Bangalore,AI Artificial Intelligence,4153,999999999,999999999,2184,999999999,6568,7934,999999999,999999999,1919,999999999,999999999,3743,999999999,999999999,1261,1408,4126,9716,999999999,57731,999999999,999999999,999999999
27,E005 R. V. College of Engineering Bangalore,BT Bio Technology,52303,999999999,999999999,34637,999999999,999999999,999999999,999999999,999999999,31357,999999999,999999999,30729,999999999,999999999,11373,999999999,62523,45051,999999999,999999999,66405,999999999,88164
28,E005 R. V. College of Engineering Bangalore,CE Civil,53572,999999999,999999999,96992,130282,131523,50728,999999999,90872,50321,999999999,121928,74864,999999999,148305,34548,37383,71798,110861,999999999,999999999,39555,999999999,999999999
29,E005 R. V. College of Engineering Bangalore,CH Chemical,34641,999999999,999999999,75293,999999999,999999999,999999999,999999999,999999999,999999999,80641,999999999,999999999,999999999,999999999,14432,999999999,18354,34522,999999999,999999999,107125,999999999,999999999
30,E005 R. V. College of Engineering Bangalore,CS Computers,964,999999999,1283,1682,9613,4393,3226,999999999,999999999,1650,999999999,2321,910,999999999,1777,454,1162,1206,4482,11088,15720,9182,999999999,999999999
31,E005 R. V. College of Engineering Bangalore,CY CS- Cyber Security,9430,999999999,999999999,2570,999999999,3149,5253,18303,999999999,999999999,999999999,999999999,3717,999999999,999999999,1779,999999999,2924,13841,999999999,29049,12564,999999999,999999999
32,E005 R. V. College of Engineering Bangalore,DS Comp. Sc. Engg- Data Sc.,999999999,999999999,999999999,1776,999999999,999999999,3356,999999999,999999999,3816,999999999,4120,1065,999999999,999999999,1062,6833,1817,10542,49578,999999999,12365,999999999,999999999
33,E005 R. V. College of Engineering Bangalore,EC Electronics,6593,999999999,999999999,5932,14392,10684,6482,999999999,12184,1900,999999999,999999999,2181,999999999,6736,1737,4753,4872,20365,20724,39566,9056,999999999,15979
34,E005 R. V. College of Engineering Bangalore,EE Electrical,999999999,999999999,23808,12264,999999999,999999999,14064,999999999,49502,15169,999999999,999999999,12850,999999999,999999999,8103,23532,11030,50700,69258,999999999,35614,999999999,999999999
35,E005 R. V. College of Engineering Bangalore,EI Elec. Inst. Engg,12315,999999999,999999999,14347,999999999,999999999,47102,999999999,999999999,25769,999999999,28279,13804,999999999,999999999,10983,999999999,19309,51489,999999999,999999999,999999999,95465,999999999
36,E005 R. V. College of Engineering Bangalore,ET Elec. Telecommn. Engg.,6188,999999999,999999999,9529,999999999,50350,11946,999999999,999999999,6477,999999999,999999999,13392,999999999,999999999,6073,33321,25587,50853,999999999,73123,999999999,999999999,999999999
37,E005 R. V. College of Engineering Bangalore,IE Info.Science,948,999999999,999999999,1701,999999999,5011,2043,999999999,999999999,855,999999999,999999999,1039,999999999,999999999,607,4923,1165,7080,999999999,18627,4346,999999999,999999999
